month,unemployment_rate,total_employment,all_gdp
2024-05-01,6.3,20925.4,2289038
2024-06-01,6.4,21048.5,2294051
2024-07-01,6.4,20915.6,2298623
2024-08-01,6.6,20887.4,2301315
2024-09-01,6.5,20844,2307523
2024-10-01,6.6,20861.8,2317073
2024-11-01,7,20828.6,2312337
2024-12-01,6.7,20843.6,2317000
2025-01-01,6.7,20670.1,2329696
2025-02-01,6.6,20768.6,2325043
2025-03-01,6.8,20758,2327664
2025-04-01,6.9,20873.8,2324317
2025-05-01,7,21191.2,2322659
2025-06-01,6.9,21449.7,2323564
2025-07-01,6.9,21206.7,2337520
2025-08-01,7.1,21086.3,2336252
2025-09-01,7.1,21039.4,2339856
2025-10-01,6.9,21125.7,2332992
2025-11-01,6.6,21117.8,2333414
2025-12-01,6.8,21056.4,2339127
